Family,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50
Acidiferrobacteraceae,2,2,0,2,2,2,0,2,2,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,2,2,0,0,2,0,2,2,2,2,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,2
Actinomycetaceae,0,1,0,1,3,3,2,0,0,2,2,3,3,3,2,0,2,2,0,0,2,0,1,2,0,1,0,0,0,0,2,0,0,0,2,3,0,0,3,2,1,0,0,0,0,1,0,1,2,3
Aerococcaceae,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Akkermansiaceae,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,2,2
Alteromonadaceae,2,2,2,0,0,2,0,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0
Bacillaceae,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bifidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brevibacteriaceae,2,2,0,0,0,0,2,0,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,2,2,2,2,0,0,2,2,2,0,2,0,0,2,0,2,0
Campylobacteraceae,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2
Caulobacteraceae,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,0,2,0,2,2,2,0,2,0,2,2,2
Cellvibrionaceae,2,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,0,2,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2
Chitinophagaceae,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Clostridiaceae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonadaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2
Corynebacteriaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
Devosiaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2
Enterobacteriaceae,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Enterococcaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family XI,2,0,0,2,2,0,2,0,2,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,2,2,2,0,2,2,2,2
Fusobacteriaceae,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,0,2,0,0,2,0,0,0,0
Halomonadaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
Hungateiclostridiaceae,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0
Hyphomonadaceae,2,0,2,2,0,2,2,0,2,0,0,0,0,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,2
Idiomarinaceae,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,2,2,2,2,2
Lachnospiraceae,2,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2
Lactobacillaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
Leptotrichiaceae,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Listeriaceae,0,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
Micrococcaceae,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Moraxellaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Neisseriaceae,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0
Nocardiopsaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Oxalobacteraceae,0,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,0,0,0,2,2,2,2,0,2,2,2,2,0,0,0,2,2,2,2,0,0,2,2,0,0,2,0,2,2,2,2,0
Paenibacillaceae,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurellaceae,2,0,2,0,2,2,0,2,2,2,0,0,2,0,0,2,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0,2,2,2,0
Peptoniphilaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Peptostreptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planococcaceae,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,0,0,2,2,2,0,2,2,0,0,2,2,2,2,0,2,2,0
Porphyromonadaceae,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0
Prevotellaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Propionibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pseudomonadaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Pseudonocardiaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rhizobiaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
Rhodobacteraceae,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rhodocyclaceae,0,2,0,2,2,2,0,2,2,0,2,2,2,0,0,2,0,2,2,2,0,0,2,0,2,0,2,0,0,2,2,0,0,0,2,2,2,2,0,2,2,2,0,2,2,2,2,0,0,0
Rikenellaceae,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,0,2,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,2,2,0,2,2,0,2,0,0,2,2,2,0,0
Ruminococcaceae,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,0,2
Sphingobacteriaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sphingomonadaceae,2,0,2,0,0,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2,2,2,0,0,2,0,2,2,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2
Spirosomaceae,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
Staphylococcaceae,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2
Streptococcaceae,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Veillonellaceae,2,0,0,2,2,2,0,0,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,0,1,3
Vibrionaceae,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,2,2,0,0,2,2
Weeksellaceae,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,2,2,0,2,2,2,0,2,2,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0
Xanthomonadaceae,2,2,2,2,0,2,2,2,2,2,0,0,2,0,2,2,0,0,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0