Family,PatientUrine1,PatientUrine10,PatientUrine11,PatientUrine12,PatientUrine13,PatientUrine14,PatientUrine15,PatientUrine16,PatientUrine17,PatientUrine18,PatientUrine19,PatientUrine2,PatientUrine20,PatientUrine21,PatientUrine22,PatientUrine23,PatientUrine24,PatientUrine25,PatientUrine26,PatientUrine27,PatientUrine28,PatientUrine29,PatientUrine3,PatientUrine30,PatientUrine31,PatientUrine32,PatientUrine33,PatientUrine34,PatientUrine35,PatientUrine36,PatientUrine37,PatientUrine38,PatientUrine39,PatientUrine4,PatientUrine40,PatientUrine41,PatientUrine42,PatientUrine43,PatientUrine44,PatientUrine45,PatientUrine46,PatientUrine47,PatientUrine48,PatientUrine49,PatientUrine5,PatientUrine50,PatientUrine6,PatientUrine7,PatientUrine8,PatientUrine9
Actinomycetaceae,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0
Aerococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacteriaceae,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,2,0,0,2,0
Chitinophagaceae,0,0,2,2,2,2,2,2,0,2,0,2,0,2,0,2,0,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2
Comamonadaceae,2,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,0,0,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,2,0,2,2,2,3,2,2,2,2,2,3,2,2,2,0,3,2,2,0,3,2,2,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Enterococcaceae,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillaceae,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2
Micrococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxellaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nocardiopsaceae,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Paenibacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Peptoniphilaceae,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peptostreptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae,0,0,2,0,0,2,1,2,3,2,2,2,0,3,0,2,2,0,2,0,0,2,0,2,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
Propionibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Staphylococcaceae,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,3,1,2,2,2,2,2,3,2,2,0,2,2,2
Streptococcaceae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Veillonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0